2040064	q0
3100289	q1
3062402	q2
3021830	q3
2007816	q4
2006028	q5
2006031	q6
2006929	q7
2007441	q8
3100825	q9
2028186	q10
2002075	q11
3100188	q12
3059866	q13
3030812	q14
2044323	q15
2025253	q16
3086246	q17
2001459	q18
3096755	q19
3100727	q20
2047929	q21
2004282	q22
3010623	q23
2038208	q24
2005952	q25
2008392	q26
3005001	q27
2046027	q28
2033228	q29
3100235	q30
2036557	q31
2034768	q32
2041554	q33
2031444	q34
3100119	q35
2024410	q36
2038875	q37
2047836	q38
3100511	q39
2009961	q40
3041901	q41
3100909	q42
3092205	q43
2033904	q44
3100399	q45
2004980	q46
2003061	q47
3100918	q48
2002168	q49
